IDSERVICE,NOM,ALTITUDE,ZONE,TYPE,ETAT,GESTION,OPERATEUR,METHODE,COMMENT,OFFX,OFFY,LIGNE_VIS,ICONE_VIS,OFFX_TEX,OFFY_TEX,VIS_TEX,longitude,latitude
1,Lac Trousers,248.339325,Bolton,Camping aménagé,ouvert,Camping LAc Trousers,Gilles Turgeon,Estimé,,-230,-252,solid,oui,0,80,non,-72.3359006,45.24850614
3,L'Iris Bleu,239.9164124,Bolton,Hébergement,ouvert,L'Iris Bleu,Daniel Delorme,GPS,,81,-45,solid,oui,0,80,non,-72.3561037,45.19940547
4,SPA des Chutes de Bolton,239.6916199,Bolton,Hébergement,ouvert,SPA des Chutes de Bolton,Daniel Delorme,GPS,,78,58,solid,oui,0,80,non,-72.3560927,45.19991831
6,S09,239.2886963,Bolton,Parking,ouvert,SE,Gilles Turgeon,Estimé,,-100,40,solid,oui,0,60,oui,-72.3562396,45.2067687
7,S10,240.0096893,Bolton,Parking,ouvert,SE,Gilles Turgeon,Estimé,,-200,50,solid,oui,0,80,oui,-72.3550286,45.21509855
8,S11,244.2199554,Bolton,Parking,ouvert,SE,Gilles Turgeon,GPS,,-160,-140,solid,oui,0,-150,oui,-72.3574242,45.2308341
9,S12,286.4989624,Bolton,Parking,ouvert,Missisquoi Nord,Gilles Turgeon,Estimé,,150,99,solid,oui,0,60,oui,-72.3780302,45.2684021
11,S14,268.9979553,Bolton,Parking,ouvert,SE,Daniel Delorme,Estimé,,160,140,solid,oui,0,60,oui,-72.326128,45.27929863
13,S16,288.9803467,Bolton,Parking,ouvert,SE,Gilles Turgeon,GPS,,125,-102,solid,oui,180,-40,oui,-72.2589042,45.2934252
15,PV24,366.8027649,Bolton,Point de vue,ouvert,SE,Daniel Delorme,GPS,,146,68,solid,oui,160,-40,oui,-72.3664171,45.2218755
16,PV30,495.3580017,Bolton,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,-86,170,solid,oui,-160,-40,oui,-72.2815795,45.27451175
17,PV32,568.4713745,Bolton,Point de vue,ouvert,SE,Daniel Delorme,GPS,,-80,-400,solid,oui,0,-150,oui,-72.2790044,45.27155072
18,PV31,599.6385498,Bolton,Point de vue,ouvert,SE,Daniel Delorme,GPS,,-150,0,solid,oui,0,-150,oui,-72.2785806,45.27276574
19,PV34,505.2433777,Bolton,Point de vue,ouvert,SE,Daniel Delorme,Estimé,,-300,80,solid,oui,-160,-40,oui,-72.278227,45.2769559
20,PV35,497.2112122,Bolton,Point de vue,ouvert,SE,Daniel Delorme,Estimé,,-200,200,solid,oui,-160,-40,oui,-72.277796,45.27735525
21,PV26,295.279541,Bolton,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,1,138,solid,oui,0,60,oui,-72.360299,45.23157305
23,PV27,261.3518066,Bolton,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,172,-58,solid,oui,160,-40,oui,-72.3535508,45.24369742
24,PV28,267.3165588,Bolton,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,119,185,solid,oui,160,-40,oui,-72.3532199,45.245547
25,PV29,319.8346252,Bolton,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,-180,-120,solid,oui,0,-150,oui,-72.3385156,45.25503504
27,PV14,400.2859802,Bolton,Point de vue,ouvert,SE,Marcel Grenier,GPS,,-150,0,solid,oui,0,60,oui,-72.4811426,45.12046195
29,Entre Cîmes et Racines,301.8250427,Bolton,Camping aménagé,ouvert,Entre Cîmes et Racines,Gilles Turgeon,Estimé,,280,150,no,oui,0,80,non,-72.3049095,45.2538013
30,Place McKenzie,241.4270325,Brompton,Camping aménagé,ouvert,Plage McKensie,Gilles Turgeon,Estimé,,0,200,solid,oui,0,80,non,-72.1420414,45.47389913
31,S21,279.2365723,Brompton,Parking,ouvert,SE,Gilles Turgeon,GPS,,-150,92,solid,oui,0,80,oui,-72.1862634,45.39213653
32,S22 (été),278.3572998,Brompton,Parking,ouvert,SE,Gilles Turgeon,Estimé,,140,140,solid,oui,160,-60,oui,-72.1747729,45.42243936
33,S23,249.7427673,Brompton,Parking,ouvert,SE,Gilles Turgeon,GPS,,-28,129,solid,oui,0,60,oui,-72.1655948,45.45519526
35,PV74,286.5596313,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,26,177,solid,oui,-160,-40,oui,-72.1810376,45.39773832
36,PV75,279.7406921,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,-200,40,solid,oui,-160,-40,oui,-72.1753686,45.40330667
38,PV82,369.9659424,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,-281,93,solid,oui,-160,-40,oui,-72.1721456,45.43092504
39,PV88,260.6759949,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,82,200,solid,oui,0,60,oui,-72.1705727,45.45493525
41,PV85,327.9091797,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,116,-70,solid,oui,160,-40,oui,-72.1668644,45.43221712
42,PV89,322.7638245,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,-150,0,solid,oui,0,60,oui,-72.1789024,45.46539864
43,PV84,400.0471802,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,-150,-300,solid,oui,0,-150,oui,-72.1697116,45.43174044
44,PV76,346.1373596,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,-40,-500,solid,oui,0,-150,oui,-72.1677264,45.41328508
45,PV77,419.6251831,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,-300,-260,solid,oui,-160,-40,oui,-72.1739264,45.41435042
46,PV78,398.6294556,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,-137,-27,solid,oui,-160,-40,oui,-72.1757638,45.41451671
47,PV79,453.0574341,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,-20,150,solid,oui,0,60,oui,-72.1748313,45.41620894
48,PV80,400.5837708,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,25,300,solid,oui,0,60,oui,-72.1688226,45.41782916
49,PV81,379.9983521,Brompton,Point de vue,ouvert,SE,Yvan Guay,GPS,,120,300,solid,oui,160,-40,oui,-72.1676982,45.41817248
