NOMCSV,NOM,ZONE,TYPE,ETAT,ALTMIN,ALTMAX,MONTEE,DESCENTE,LONGUEUR
"000002.csv", "Camping du lac Trousers","Bolton","Accès","ouvert","249","300","3","-50","608"
"000003.csv", "PV29","Bolton","Accès","ouvert","245","320","76","-44","1406"
"000009.csv", "PV26","Bolton","Accès","ouvert","295","304","0","-8","47"
"000015.csv", "Chemin Bombardier","Brompton","Accès","ouvert","250","264","5","-15","512"
"000016.csv", "Mont Carré","Brompton","Accès","ouvert","324","409","148","-101","1243"
"000017.csv", "Sentier secondaire du mont desTrois-Lacs","Brompton","Alternatif","ouvert","396","451","55","-42","533"
"000026.csv", "PV147","Monts Stoke","Accès","ouvert","645","648","0","-2","13"
"000031.csv", "PV136","Monts Stoke","Accès","ouvert","524","525","0","0","11"
"000034.csv", "PV151","Monts Stoke","Accès","ouvert","490","496","0","-6","15"
"000035.csv", "Mont Élan","Monts Stoke","Principal","ouvert","235","575","518","-178","8615"
"000036.csv", "PV22","Glen","Accès","ouvert","517","526","0","-9","54"
"000037.csv", "PV21","Glen","Accès","ouvert","417","427","0","-10","30"
"000043.csv", "PV104","Kingsbury","Accès","ouvert","188","188","0","0","17"
"000044.csv", "PV93","Kingsbury","Accès","ouvert","328","334","0","-6","48"
"000045.csv", "Point de vue Larouche","Kingsbury","Accès","ouvert","317","328","0","-11","30"
"000047.csv", "PV94","Kingsbury","Accès","ouvert","314","325","1","-11","67"
"000048.csv", "PV95","Kingsbury","Accès","ouvert","265","269","2","-3","90"
"000052.csv", "Le marais","Kingsbury","Alternatif","ouvert","274","329","76","-21","1184"
"000055.csv", "PV55","Orford","Accès","ouvert","735","735","0","0","9"
"000056.csv", "PV47 47","Orford","Accès","ouvert","823","835","0","-11","58"
"000057.csv", "PV49","Orford","Accès","ouvert","820","832","0","-11","51"
"000058.csv", "PV46","Orford","Accès","ouvert","831","834","0","-2","37"
"000061.csv", "PV60","Orford","Accès","ouvert","489","504","10","-14","138"
"000067.csv", "PV115","Richmond","Accès","ouvert","179","182","0","-2","13"
"000069.csv", "PV118","Richmond","Accès","ouvert","140","140","0","0","52"
"000070.csv", "Rivière Richmond","Richmond","Alternatif","ouvert","150","195","68","-36","1252"
"000074.csv", "PV130","Monts Stoke","Accès","ouvert","430","440","0","-9","51"
"000076.csv", "Alternatif John-Guillemette","Monts Stoke","Alternatif","ouvert","411","503","117","-66","1326"
"000077.csv", "Raccourci rang 10","Monts Stoke","Alternatif","ouvert","480","487","7","-7","116"
"000080.csv", "PV5","Sutton","Accès","ouvert","757","769","0","-12","35"
"000081.csv", "PV8","Sutton","Accès","ouvert","870","887","0","-16","44"
"000082.csv", "PV2","Sutton","Accès","ouvert","541","546","0","-5","28"
"000083.csv", "PV3","Sutton","Accès","ouvert","561","566","0","-4","25"
"000087.csv", "Camping Étang-aux-Castors","Écho","Accès","ouvert","461","466","5","0","66"
"000088.csv", "Chemin de la Falaise","Écho","Accès","ouvert","313","452","25","-159","2210"
"000090.csv", "PV18","Écho","Accès","ouvert","609","618","0","-8","80"
