IDSERVICE,NOM,ALTITUDE,ZONE,TYPE,ETAT,GESTION,OPERATEUR,METHODE,COMMENT,OFFX,OFFY,LIGNE_VIS,ICONE_VIS,OFFX_TEX,OFFY_TEX,VIS_TEX,longitude,LATITUDE
"1",Lac Trousers,248.339324951,Bolton,Camping aménagé,ouvert,Camping LAc Trousers,Gilles Turgeon,Estimé,,"-230","-252",solid,oui,"0","80",non,-72.335900602953771,45.248506141211102
"3",L'Iris Bleu,239.916412354,Bolton,Hébergement,ouvert,L'Iris Bleu,Daniel Delorme,GPS,,"81","-45",solid,oui,"0","80",non,-72.356103739669521,45.199405473058775
"4",SPA des Chutes de Bolton,239.691619873,Bolton,Hébergement,ouvert,SPA des Chutes de Bolton,Daniel Delorme,GPS,,"78","58",solid,oui,"0","80",non,-72.356092704082485,45.199918312439046
"6",S09,239.288696289,Bolton,Parking,ouvert,SE,Gilles Turgeon,Estimé,,"-100","40",solid,oui,"0","60",oui,-72.356239638127178,45.206768700162826
"7",S10,240.009689331,Bolton,Parking,ouvert,SE,Gilles Turgeon,Estimé,,"-200","50",solid,oui,"0","80",oui,-72.353973170034465,45.217933247288968
"8",S11,244.219955444,Bolton,Parking,ouvert,SE,Gilles Turgeon,GPS,,"-160","-140",solid,oui,"0","-150",oui,-72.357424287377142,45.230834095430879
"9",S12,286.498962402,Bolton,Parking,ouvert,Missisquoi Nord,Gilles Turgeon,Estimé,,"150","99",solid,oui,"0","60",oui,-72.378030283996182,45.268402099722898
"11",S14,268.997955322,Bolton,Parking,ouvert,SE,Daniel Delorme,Estimé,,"160","140",solid,oui,"0","60",oui,-72.326128072618957,45.279298630597935
"13",S16,288.980346680,Bolton,Parking,ouvert,SE,Gilles Turgeon,GPS,,"125","-102",solid,oui,"180","-40",oui,-72.258904257883373,45.293425203110367
"15",PV24,366.802764893,Bolton,Point de vue,ouvert,SE,Daniel Delorme,GPS,,"146","68",solid,oui,"160","-40",oui,-72.366417100000007,45.221875500000003
"16",PV30,495.358001709,Bolton,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,"-86","170",solid,oui,"-160","-40",oui,-72.281579501470361,45.274511752179109
"17",PV32,568.471374512,Bolton,Point de vue,ouvert,SE,Daniel Delorme,GPS,,"-80","-400",solid,oui,"0","-150",oui,-72.279004485769136,45.271550723222489
"18",PV31,599.638549805,Bolton,Point de vue,ouvert,SE,Daniel Delorme,GPS,,"-150","0",solid,oui,"0","-150",oui,-72.278580669561023,45.272765739515251
"19",PV34,505.243377686,Bolton,Point de vue,ouvert,SE,Daniel Delorme,Estimé,,"-300","80",solid,oui,"-160","-40",oui,-72.278227019036763,45.276955897551488
"20",PV35,497.211212158,Bolton,Point de vue,ouvert,SE,Daniel Delorme,Estimé,,"-200","200",solid,oui,"-160","-40",oui,-72.277796019803347,45.277355247190961
"21",PV26,295.279541016,Bolton,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,"1","138",solid,oui,"0","60",oui,-72.360299031645795,45.231573053653712
"23",PV27,261.351806641,Bolton,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,"172","-58",solid,oui,"160","-40",oui,-72.353550873234340,45.243697423857007
"24",PV28,267.316558838,Bolton,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,"119","185",solid,oui,"160","-40",oui,-72.353219990627181,45.245546997463997
"25",PV29,319.834625244,Bolton,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,"-180","-120",solid,oui,"0","-150",oui,-72.338515644313603,45.255035043316290
"27",PV14,400.285980225,Bolton,Point de vue,ouvert,SE,Marcel Grenier,GPS,,"-150","0",solid,oui,"0","60",oui,-72.481142653906318,45.120461948924806
"29",Entre Cîmes et Racines,301.825042725,Bolton,Camping aménagé,ouvert,Entre Cîmes et Racines,Gilles Turgeon,Estimé,,"280","150",no,oui,"0","80",non,-72.304909495705303,45.253801300608913
"30",Place McKenzie,241.427032471,Brompton,Camping aménagé,ouvert,Plage McKensie,Gilles Turgeon,Estimé,,"0","200",solid,oui,"0","80",non,-72.142041444850790,45.473899132602831
"31",S21,279.236572266,Brompton,Parking,ouvert,SE,Gilles Turgeon,GPS,,"-150","92",solid,oui,"0","80",oui,-72.186263477671218,45.392136529739858
"32",S22 (été),278.357299805,Brompton,Parking,ouvert,SE,Gilles Turgeon,Estimé,,"140","140",solid,oui,"160","-60",oui,-72.174772960830921,45.422439360422146
"33",S23,249.742767334,Brompton,Parking,ouvert,SE,Gilles Turgeon,GPS,,"-28","129",solid,oui,"0","60",oui,-72.165594877915524,45.455195263683358
"35",PV74,286.559631348,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"26","177",solid,oui,"-160","-40",oui,-72.181037612500589,45.397738323267752
"36",PV75,279.740692139,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-200","40",solid,oui,"-160","-40",oui,-72.175368596108441,45.403306673021604
"38",PV82,369.965942383,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-281","93",solid,oui,"-160","-40",oui,-72.172145670521360,45.430925043934160
"39",PV88,260.675994873,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,"82","200",solid,oui,"0","60",oui,-72.170572742611498,45.454935248623464
"41",PV85,327.909179688,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"116","-70",solid,oui,"160","-40",oui,-72.166864443806460,45.432217119874075
"42",PV89,322.763824463,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-150","0",solid,oui,"0","60",oui,-72.178902490306371,45.465398638214154
"43",PV84,400.047180176,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-150","-300",solid,oui,"0","-150",oui,-72.169711649659234,45.431740435474737
"44",PV76,346.137359619,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-40","-500",solid,oui,"0","-150",oui,-72.167726479711177,45.413285077271169
"45",PV77,419.625183105,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-300","-260",solid,oui,"-160","-40",oui,-72.173926405849471,45.414350417164336
"46",PV78,398.629455566,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-137","-27",solid,oui,"-160","-40",oui,-72.175763886662850,45.414516714123266
"47",PV79,453.057434082,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-20","150",solid,oui,"0","60",oui,-72.174831316115899,45.416208936554661
"48",PV80,400.583770752,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"25","300",solid,oui,"0","60",oui,-72.168822665008022,45.417829158437797
"49",PV81,379.998352051,Brompton,Point de vue,ouvert,SE,Yvan Guay,GPS,,"120","300",solid,oui,"160","-40",oui,-72.167698232698299,45.418172481172157
"51",S30,379.731658936,Monts Stoke,Toilettes,ouvert,SE,Gilles Turgeon,Estimé,,"-130","183",no,oui,"0","80",non,-71.676117908350903,45.590921476757195
